crf,bitrate,vmaf
63,147647,57.707691
62,184232,62.857337
61,217643,67.505028
60,247287,71.037692
59,275263,74.286176
58,300300,76.273391
57,331034,78.704935
56,357357,80.654521
55,385231,82.362882
53,439695,85.215816
51,502285,87.828877
49,569634,90.105749
48,607310,91.093668
47,650598,92.097482
46,691658,93.017813
45,735858,93.868433
44,787975,94.619845
43,836823,95.291257
42,894233,95.91837
41,952106,96.426925
40,1014591,96.759137
38,1155183,97.392219
36,1313983,97.83111
35,1399675,98.046028
34,1514555,98.306049
32,1705835,98.63822
30,1945691,98.898862
27,2299704,99.154389
24,2718024,99.324093
23,2863752,99.375592
20,3226878,99.440269
19,3420321,99.471974
17,3791069,99.510756
14,4526699,99.565362
13,4905550,99.58851
10,6131584,99.646157
9,7062560,99.668986
8,8067366,99.680843
