crf,filesize,bitrate,vmaf
63,34335,7285.1042762547195,88.781929
62,41978,8906.774641287915,90.637734
61,49025,10401.987393137835,91.977151
60,55091,11689.054308523335,92.627233
58,65683,13936.435246169758,93.586332
57,70669,14994.3507819614,93.917951
55,80096,16994.54527773112,94.389387
52,94956,20147.498519179935,94.82349
50,104739,22223.228099334294,95.10068
49,111122,23577.555188174658,95.252168
47,123377,26177.786814954954,95.454274
45,137184,29107.317461299765,95.657162
43,152001,32251.14708300549,95.850925
40,180391,38274.85788547736,96.111379
36,222734,47259.07720597986,96.300873
35,235574,49983.43249670683,96.342302
30,336127,71318.4868229116,96.55517
27,397248,84286.96966750064,96.651902
24,479417,101721.35828772999,96.707244
14,635976,134939.60906350287,96.811052
8,967769,205338.51988719247,96.875544
6,1351713,286802.6840416221,96.948738
5,1658839,351967.8197908287,96.986643
3,2029355,430582.8684589746,97.018407
2,2156140,457483.7551828702,97.025174
