crf,size,bitrate,vmaf
1,1604581013,9048654.932769407,97.66295548236268
2,1590844567,8971191.495990835,97.6562965661586
3,1507782017,8502779.90025553,97.65273333180603
4,1288424476,7265764.954092871,97.62424666146786
5,1184495970,6679684.736981232,97.6029887207684
6,997447379,5624868.469116221,97.5726745700355
7,843999226,4759533.920521632,97.53090823934556
8,754821939,4256639.712397568,97.48569899579986
9,672965635,3795030.455546744,97.43757193491348
10,612594192,3454579.9883690192,97.40759002105915
11,576054641,3248523.836813816,97.38093064264102
12,533050637,3006012.932240726,97.35018547214149
13,505696437,2851755.394131642,97.32554605463041
14,475104067,2679236.962551767,97.29495114538733
15,452262822,2550429.166270156,97.26478933659354
16,426918893,2407508.0757776015,97.24251698522635
17,409363459,2308508.3598554935,97.21881191635093
18,389638377,2197273.427438541,97.19146278658914
19,375534281,2117736.71548154,97.1655933501337
20,356819113,2012196.9540928719,97.13494625908307
21,343501679,1937096.4363380035,97.09889449690132
22,329025667,1855462.3921050313,97.07222772558515
23,315336332,1778264.6266631421,97.03897645305022
24,298537269,1683530.286016389,96.99686301920873
25,278827287,1572380.5064763415,96.9378775769672
26,262489804,1480249.1370164773,96.883621413869
27,247969468,1398365.1380738392,96.83290778235965
28,233554632,1317076.0814168649,96.75221509795294
29,220851844,1245441.7143360649,96.68589840038777
30,208879000,1177923.693717508,96.63784572223686
31,195753528,1103905.7002379065,96.54573521129619
32,181856673,1025537.6748612211,96.44670681196581
33,170753171,962922.1027403295,96.3361582004581
34,160522480,905228.5417217376,96.2438529160278
35,149104098,840837.2783505155,96.11529415549086
36,139551495,786967.6341527888,95.98733410159487
37,131491004,741512.4025024232,95.83932018430403
38,123224540,694895.6348576967,95.67501566854644
39,115527782,651491.5893911358,95.49269480808877
40,108980123,614567.6158251829,95.31389353111877
41,102277047,576767.2048638647,95.10139278209533
42,96538188,544404.2675125562,94.88773754959317
43,90643954,511165.12961494405,94.63603014453545
44,85634174,482913.66076306277,94.39253186668427
45,80773114,455500.8631597498,94.13361570975422
46,75964871,428385.91452991456,93.83158135994361
47,72020325,406141.58075601375,93.5198329288631
48,67832761,382526.80447616533,93.18736731368395
49,64145618,361734.0340118072,92.82364732255404
50,60563745,341534.90880253765,92.44467701074983
51,57172325,322409.7982201075,92.06002621082624
52,53852553,303688.72957969864,91.61248908444207
53,50824672,286613.7111639792,91.17525412165524
54,47834980,269754.0505771433,90.67551633612358
55,44891583,253155.45968807826,90.16421056930125
56,42002034,236860.5318530267,89.58397507868531
57,39116122,220586.1140188563,88.88806887714044
58,36027156,203166.62120010576,88.03254276356208
59,33132793,186844.54595118514,87.11743372352929
60,29966743,168990.35615472728,85.87894362839599
61,26715893,150657.9568243898,84.36475229888099
62,22859591,128911.25420741916,82.15118714045295
63,18496932,104309.07110758657,78.74414046224337
