crf,filesize,vmaf
1,2431875,98.185556
2,2388662,98.192374
3,2129860,98.18288
4,1884228,98.16863
5,1528568,98.148629
6,1267124,98.091568
7,1012238,98.107898
8,816314,98.053427
9,730949,98.024872
10,661950,98.018551
11,607720,98.00651
12,548556,98.029079
13,511875,98.013359
14,466817,97.945195
15,441548,97.887828
16,412543,97.959736
17,397092,97.878826
18,374440,97.859546
19,357984,97.544109
20,341033,98.583086
21,324873,98.576752
22,322431,98.60533
23,296073,98.572277
24,287268,98.581897
25,267798,97.710078
26,254857,97.69233
27,241280,97.629766
28,229394,97.630825
29,275722,97.858384
30,236329,97.727003
31,237128,97.724859
32,184111,97.308394
33,177083,97.354933
34,184176,97.442211
35,157030,97.110066
36,148907,97.104613
37,158229,97.209204
38,134197,96.919285
39,138543,97.014427
40,122989,96.685062
41,115908,96.449583
42,109713,96.252087
43,120745,96.645303
44,116032,96.47814
45,92113,95.488752
46,99669,96.089397
47,83106,94.602131
48,93770,95.837685
49,95518,96.146263
50,81610,95.626553
51,75389,95.183322
52,75564,94.546218
53,77605,94.075515
54,57639,92.701621
55,53331,91.640864
56,49584,90.560287
